topic,question,options,correct_answer
Artificial Intelligence,What is the difference between narrow AI and general AI?,"['Narrow AI focuses on specific tasks, general AI can perform any human task', 'Narrow AI is faster, general AI is slower', 'Narrow AI uses neural networks, general AI does not', 'Narrow AI is outdated, general AI is modern']","Narrow AI focuses on specific tasks, general AI can perform any human task"
Artificial Intelligence,What is the Turing Test used for?,"['To measure the speed of AI models', 'To determine if a machine exhibits human-like intelligence', 'To test the accuracy of AI predictions', 'To evaluate AI hardware performance']",To determine if a machine exhibits human-like intelligence
Artificial Intelligence,Which of the following is an example of reinforcement learning?,"['Teaching a robot to walk by rewarding progress', 'Sorting emails into spam and inbox', 'Clustering customers by purchase behavior', 'Predicting tomorrow’s weather']",Teaching a robot to walk by rewarding progress
Artificial Intelligence,What is AI bias?,"['Errors caused by biased training data', 'AI systems running too slowly', 'Incorrect hyperparameter tuning', 'Lack of neural network layers']",Errors caused by biased training data
Artificial Intelligence,Which is a common use of AI in healthcare?,"['Diagnosing diseases from medical images', 'Encrypting patient data', 'Scheduling hospital staff shifts', 'Inventory management for drugs']",Diagnosing diseases from medical images
Artificial Intelligence,What is a knowledge graph?,"['A database that stores facts and relationships', 'A type of decision tree', 'A neural network visualizer', 'A clustering algorithm']",A database that stores facts and relationships
Artificial Intelligence,What does explainable AI focus on?,"['Improving AI inference speed', 'Making AI decisions interpretable to humans', 'Compressing AI models', 'Encrypting AI models for security']",Making AI decisions interpretable to humans
Artificial Intelligence,What is transfer learning in AI?,"['Using knowledge from one task to improve another', 'Training from scratch with more data', 'Compressing large AI models', 'Combining multiple AI models']",Using knowledge from one task to improve another
Artificial Intelligence,What is an expert system?,"['An AI system using rules and logic to mimic human expertise', 'A cloud-based AI service', 'An AI for optimizing databases', 'A voice assistant like Alexa']",An AI system using rules and logic to mimic human expertise
Artificial Intelligence,What is an example of AI in IoT devices?,"['Smart thermostats adjusting temperature automatically', 'Manually setting a thermostat', 'A standard light bulb', 'A wall clock']",Smart thermostats adjusting temperature automatically
Big Data,Which of the following best defines Big Data?,"['Data sets too large for traditional processing tools', 'Small, manageable datasets', 'Only structured databases', 'Only unstructured text data']",Data sets too large for traditional processing tools
Big Data,Which of these is a common Big Data framework?,"['Apache Hadoop', 'SQLite', 'Microsoft Access', 'Excel']",Apache Hadoop
Big Data,What does the 'V' in Big Data characteristics stand for?,"['Volume, Velocity, Variety', 'Value, Visibility, Validity', 'Vision, Verification, Visualization', 'Version, Variation, Virtualization']","Volume, Velocity, Variety"
Big Data,Which is an example of unstructured data?,"['Customer emails', 'Sales database records', 'Bank transaction logs', 'Excel spreadsheets']",Customer emails
Big Data,Which tool is commonly used for distributed data processing?,"['Apache Spark', 'MySQL', 'Oracle DB', 'PostgreSQL']",Apache Spark
Big Data,What is data lake in Big Data?,"['A storage for raw, unprocessed data', 'A small relational database', 'A water-themed database', 'A tool for data cleaning']","A storage for raw, unprocessed data"
Big Data,Which of these is a NoSQL database?,"['MongoDB', 'PostgreSQL', 'MySQL', 'Oracle']",MongoDB
Big Data,What is real-time analytics?,"['Processing and analyzing data as it arrives', 'Analyzing data weekly', 'Only processing old datasets', 'Using batch processing only']",Processing and analyzing data as it arrives
Big Data,Which cloud platform offers Big Data services?,"['AWS', 'Photoshop', 'Notepad++', 'Slack']",AWS
Big Data,What is the main purpose of MapReduce?,"['Processing large datasets in parallel', 'Designing web pages', 'Running simulations', 'Creating images']",Processing large datasets in parallel
Computer Vision,Which algorithm is commonly used for object detection?,"['YOLO', 'K-means', 'Apriori', 'Naive Bayes']",YOLO
Computer Vision,What does CNN stand for?,"['Convolutional Neural Network', 'Central Neural Node', 'Coded Neural Network', 'Complex Node Network']",Convolutional Neural Network
Computer Vision,Which is an application of image segmentation?,"['Separating different objects in a medical scan', 'Predicting weather', 'Classifying text sentiment', 'Sorting transactions']",Separating different objects in a medical scan
Computer Vision,Which technique helps make CNNs invariant to small translations?,"['Pooling layers', 'Dropout', 'Batch Normalization', 'Data Augmentation']",Pooling layers
Computer Vision,What is the main difference between object detection and image classification?,"['Object detection locates and labels objects, classification only labels', 'Classification is always faster', 'Detection requires no training', 'They are the same']","Object detection locates and labels objects, classification only labels"
Computer Vision,What dataset is commonly used for image classification benchmarking?,"['ImageNet', 'MNIST', 'CIFAR-10', 'All of the above']",All of the above
Computer Vision,Which method can be used to reduce overfitting in CNNs?,"['Dropout', 'Gradient Clipping', 'Learning Rate Decay', 'Batch Size Increase']",Dropout
Computer Vision,Which of these is a feature descriptor in CV?,"['SIFT', 'Adam', 'Softmax', 'Relu']",SIFT
Computer Vision,Which type of network is often used for semantic segmentation?,"['U-Net', 'RNN', 'DBSCAN', 'GAN']",U-Net
Computer Vision,What does non-maximum suppression do in object detection?,"['Removes overlapping bounding boxes', 'Removes low-quality images', 'Suppresses gradients', 'Reduces network layers']",Removes overlapping bounding boxes
Cloud Computing,What is the main characteristic of cloud computing?,"['On-demand access to computing resources over the internet', 'Free access to all software', 'Offline data storage only', 'No need for internet connection']",On-demand access to computing resources over the internet
Cloud Computing,Which of the following is a cloud deployment model?,"['Public Cloud', 'Hybrid Cloud', 'Private Cloud', 'All of the above']",All of the above
Cloud Computing,What does IaaS stand for?,"['Infrastructure as a Service', 'Internet as a Service', 'Integration as a Service', 'Interface as a Service']",Infrastructure as a Service
Cloud Computing,Which of these is an example of SaaS?,"['Google Workspace', 'Amazon EC2', 'Microsoft Azure VM', 'Docker']",Google Workspace
Cloud Computing,Which cloud provider offers the EC2 service?,"['Amazon Web Services', 'Microsoft Azure', 'Google Cloud', 'Oracle Cloud']",Amazon Web Services
Cloud Computing,What is serverless computing?,"['Running code without managing servers', 'Computing without electricity', 'Having no backend at all', 'Only using local machines']",Running code without managing servers
Cloud Computing,Which of these is a benefit of cloud computing?,"['Scalability', 'Fixed resource allocation', 'Manual hardware upgrades', 'Higher upfront cost']",Scalability
